논문ID,발행연도,저자_원본,canonical_id
ART002870171,2022,이길산,
ART003293744,2025,최지연,
ART002951211,1996,이지수,lee_jisoo
ART002182072,2016,이태승,lee_taeseung
ART002951614,2001,이지수,lee_jisoo
ART001946053,2014,이태승,lee_taeseung
ART003293163,2025,김태우,
ART003293168,2025,박수영,
ART003293157,2025,김수연,
ART003293738,2025,이태승,lee_taeseung
ART003293747,2025,한상희,
ART003293749,2025,함형석,
ART003241323,2025,이선희,
ART003241324,2025,박희언,
ART003197476,2025,우동필,
ART003197494,2025,송부경,
ART003157240,2024,박하정,
ART003075738,2024,최윤제,
ART003113333,2024,이현아,
ART002835937,2022,박기열,park_giyeol
ART003154861,2024,김서리,
ART003154903,2024,김성철,kim_seongchul
ART003112723,2024,류현정,ryu_hyeonjeong
ART003112737,2024,양영순,yang_yeongsoon
ART003075694,2024,김진영,
ART003076321,2024,함형석,
ART003035094,2023,양영순,yang_yeongsoon
ART003035096,2023,김수연,
ART002954703,2023,이자연,
ART002914800,2022,조준호,
ART002914826,2022,심준보,shim_junbo
ART002914792,2022,정성헌,
ART002914834,2022,김재권,kim_jaegwon
ART002870286,2022,구하원,
ART002870370,2022,상연진,
ART002870370,2022,최지연,
ART002870229,2022,이규완,
ART002870098,2022,방정란,
ART002870271,2022,나혜숙,
ART002835930,2022,이견명,
ART002835932,2022,정성헌,
ART003293159,2025,김재민,kim_jaemin
ART003293734,2025,박희언,
ART003293741,2025,장재진,
ART003241322,2025,최지연,
ART003197438,2025,양영순,yang_yeongsoon
ART003154874,2024,조준호,
ART003154914,2024,김한상,
ART003154941,2024,이산,
ART003154986,2024,함형석,
ART003112720,2024,방정란,
ART003112721,2024,최성호,
ART003112728,2024,한상희,
ART003112733,2024,김동완,
ART003075710,2024,이자연,
ART003075761,2024,김서리,
ART003035160,2023,이정수,
ART003035095,2023,김재민,kim_jaemin
ART002993010,2023,방정란,
ART002993011,2023,양영순,yang_yeongsoon
ART002993012,2023,류현정,ryu_hyeonjeong
ART002993013,2023,박경미,
ART002954685,2023,김호성,kim_hosung
ART002954693,2023,최지연,
ART002954689,2023,김영진,
ART002914822,2022,우동필,
ART002914852,2022,김진숙,
ART002870457,2022,이은영,
ART002870457,2022,양영순,yang_yeongsoon
ART002870107,2022,박효엽,park_hyoyeop
ART002870415,2022,성청환,
ART002870415,2022,정승석,jeong_seungseok
ART002835927,2022,윤희조,
ART002835916,2022,김재민,kim_jaemin
ART001580452,2011,박애란,
ART002252825,2017,윤종갑,
ART002750207,2021,조율희,
ART001424040,2010,임근동,im_geundong
ART001946015,2014,정승석,jeong_seungseok
ART001726593,2012,정승석,jeong_seungseok
ART002376716,2018,최지연,
ART001687664,2012,정승석,jeong_seungseok
ART002104093,2016,김진영,
ART002299151,2017,심준보,shim_junbo
ART001726596,2012,박효엽,park_hyoyeop
ART001273069,2008,안성두,ahn_seongdu
ART002665444,2020,김재권,kim_jaegwon
ART001946320,2014,하현목,
ART001424073,2010,최경아,
ART001056477,2007,김호성,kim_hosung
ART002618759,2020,박수영,
ART002252814,2017,김진영,
ART001911162,2014,박효엽,park_hyoyeop
ART002796797,2021,류현정,ryu_hyeonjeong
ART002104103,2016,나혜숙,
ART002252803,2017,손경록,
ART002252803,2017,정승석,jeong_seungseok
ART001911157,2014,마츠모토 시로,
ART002182070,2016,성청환,
ART001172675,2005,김미숙,
ART002461265,2019,성청환,
ART001476693,2010,강성용,kang_seongyong
ART002021963,2015,문진건,
ART002951277,1996,안승준,
ART002341759,2018,김재권,kim_jaegwon
ART002138530,2016,정상교,
ART002711192,2021,김영호,
ART002711192,2021,정승석,jeong_seungseok
ART002421621,2018,국광희,
ART002421621,2018,정성준,
ART002953578,1989,이태영,
ART002376715,2018,강형철,kang_hyeongchul
ART002796793,2021,김호성,kim_hosung
ART002796795,2021,최윤제,
ART002750226,2021,최지연,
ART002750214,2021,손경록,
ART002711235,2021,함형석,
ART002710631,2021,김서리,
ART002665410,2020,김호성,kim_hosung
ART002665471,2020,류현정,ryu_hyeonjeong
ART002618586,2020,최현성,
ART002618586,2020,정승석,jeong_seungseok
ART002582658,2020,김재권,kim_jaegwon
ART002582692,2020,김진영,
ART002582662,2020,양현희,
ART002582691,2020,안필섭,
ART002541008,2019,박효엽,park_hyoyeop
ART002541054,2019,양영순,yang_yeongsoon
ART002541088,2019,이태승,lee_taeseung
ART002541180,2019,박경미,
ART002541111,2019,조병활,
ART002541068,2019,정승석,jeong_seungseok
ART002496275,2019,김한상,
ART002496262,2019,박기열,park_giyeol
ART002496285,2019,심준보,shim_junbo
ART002496283,2019,심재관,
ART002461219,2019,김성철,kim_seongchul
ART002461229,2019,이경희,
ART002461211,2019,박기열,park_giyeol
ART002421696,2018,이태승,lee_taeseung
ART002421673,2018,이규완,
ART002421647,2018,강성용,kang_seongyong
ART002421665,2018,정승석,jeong_seungseok
ART002421737,2018,조석효,
ART002376729,2018,정상교,
ART002376731,2018,박기열,park_giyeol
ART002376724,2018,김지영,
ART002376735,2018,구효정,
ART002376735,2018,정승석,jeong_seungseok
ART002376740,2018,박청환,
ART002341763,2018,박금표,
ART002341761,2018,성청환,
ART002299186,2017,임승택,im_seungtaek
ART002299230,2017,조석효,
ART002252812,2017,김재민,kim_jaemin
ART002252812,2017,김동환,
ART002252822,2017,남수영,nam_sooyoung
ART002252816,2017,김호성,kim_hosung
ART002252820,2017,이영진,
ART002252824,2017,황정일,
ART002252823,2017,배경아,
ART002220274,2017,박기열,park_giyeol
ART002220284,2017,김선희,
ART002220273,2017,김재권,kim_jaegwon
ART002220276,2017,차상엽,
ART002220278,2017,임혜정,
ART002220278,2017,정승석,jeong_seungseok
ART002220275,2017,권서용,
ART002182073,2016,박문성,
ART002138522,2016,함형석,
ART002138523,2016,황유원,
ART002138523,2016,정승석,jeong_seungseok
ART002138534,2016,주명철,
ART002104118,2016,안성두,ahn_seongdu
ART002065657,2015,야나로카,
ART002065661,2015,박금표,
ART002022080,2015,안성두,ahn_seongdu
ART002022050,2015,박효엽,park_hyoyeop
ART002022121,2015,김진영,
ART002022145,2015,김경래,
ART002022158,2015,박청환,
ART001987248,2015,허남결,
ART001987253,2015,심준보,shim_junbo
ART001987251,2015,임해영,
ART001987252,2015,심재관,
ART001987250,2015,안필섭,
ART001987499,2015,황순일,hwang_soonil
ART001946282,2014,이영진,
ART001946190,2014,박경준,
ART001946326,2014,한재희,
ART001946278,2014,황순일,hwang_soonil
ART001945969,2014,정호영,
ART001946061,2014,박문성,
ART001946306,2014,강대공,
ART001911159,2014,하유진,
ART001911238,2014,담마끼띠,
ART001911160,2014,황용식,
ART001871426,2014,박청환,
ART001873841,2014,강형철,kang_hyeongchul
ART001871676,2014,김미숙,
ART001830188,2013,이거룡,
ART001801193,2013,정승석,jeong_seungseok
ART001801177,2013,황순일,hwang_soonil
ART001801205,2013,김미숙,
ART001801189,2013,김유미,
ART001801182,2013,권순범,
ART001764349,2013,안필섭,
ART001764353,2013,이남경,
ART001726599,2012,박인성,
ART001726615,2012,김서리,
ART001726602,2012,이영진,
ART001726601,2012,김미숙,
ART001726597,2012,성청환,
ART001726598,2012,나혜숙,
ART001687652,2012,강명희,
ART001687661,2012,변순미,
ART001687655,2012,김범진,
ART001687662,2012,안양규,
ART001658527,2012,정승석,jeong_seungseok
ART001658560,2012,이필원,
ART001658543,2012,안필섭,
ART001658551,2012,박청환,
ART001658523,2012,성청환,
ART001658531,2012,박효엽,park_hyoyeop
ART001658537,2012,이영석,
ART001618786,2011,김미숙,
ART001618809,2011,이영진,
ART001618793,2011,임근동,im_geundong
ART001580488,2011,박창환,
ART001580467,2011,안성두,ahn_seongdu
ART001580481,2011,김성철,kim_seongchul
ART001580441,2011,박효엽,park_hyoyeop
ART001549242,2011,주명철,
ART001511016,2010,정진일,
ART001511031,2010,박영길,park_yeonggil
ART001511044,2010,임근동,im_geundong
ART001476692,2010,김재성,kim_jaeseong
ART001476688,2010,김진영,
ART001476698,2010,김성옥,kim_seongok
ART001476680,2010,정승석,jeong_seungseok
ART001476682,2010,김미숙,
ART001424080,2010,권오민,kwon_omin
ART001424070,2010,이은주,
ART001424081,2010,이태승,lee_taeseung
ART001424072,2010,황순일,hwang_soonil
ART001424076,2010,정승석,jeong_seungseok
ART001371054,2009,김재권,kim_jaegwon
ART001370978,2009,박창환,
ART001371045,2009,최종남,
ART001371019,2009,이지수,lee_jisoo
ART001371013,2009,박효엽,park_hyoyeop
ART001371026,2009,주명철,
ART001370993,2009,박문성,
ART001320771,2009,이거룡,
ART001320776,2009,김홍미,
ART001320779,2009,최동순,
ART001273061,2008,김준호,
ART001273056,2008,강희숙,
